Upper Niger,Bani,Niger Delta,Sahara Dunes,Niger@Gao,Ka,Oli,Sokoto,Middle Niger,Benue (Upstream),Lower Niger
,,,,,,,,,,633.5
,,,,,,,,,,633.6
,,,,,,,,,,633.8
,,,,,,,,,,634.1
,,,,,,,,,,634.4
,,,,,,,,,,639.7
,,,,,,,,,,642.5
,,,,,,,,,,644.8
,,,,,,,,,,645.6
,,,,,,,,,,645.7
,,,,,,,,,,646.3
,,,,,,,,,,649
,,,,,,,,,,652.6
,,,,,,,,,,653
,,,,,,,,,,654.4
,,,,,,,,,,658.6
,,,,,,,,,,660.7
,,,,,,,,,,661.5
,,,,,,,,,,661.5
,,,,,,,,,,666.3
,,,,,,,,,,671.6
,,,,,,,,,,672.1
,,,,,,,,,,674.8
,,,,,,,,,,678
,,,,,,,,,,682.3
,,,,,,,,,,697.8
,,,,,,,,,,706
,,,,,,,,,,717.6
,,,,,,,,,,718.6
,,,,,,,,,,724.6
,,,,,,,,,,745.2
,,,,,,,,,,753.7
,,,,,,,,,,769.2
,,,,,,,,,,794.3
,,,,,,,,,,831.7
,,,,,,,,,,866.6
,,,,,,,,,,888.7
,,,,,,,,,,904.1
,,,,,,,,,,948.8
,,,,,,,,,,960
,,,,,,,,,,996.3
,,,,,,,,,,1006.6
,,,,,,,,,,1008.8
,,,,,,,,,,1028.2
,,,,,,,,,,1035
,,,,,,,,,,1054.5
,,,,,,,,,,1056.4
,,,,,,,,,,1068
,,,,,,,,,,1080.3
,,,,,,,,,,1081.5
,,,,,,,,,,1478.1
,,,,,,,,,,1628.3
,,,,,,,,,,1633.1
,,,,,,,,,,1702.8
,,,,,,,,,,1746
,,,,,,,,,,1794
,,,,,,,,,,1797
,,,,,,,,,,1825.1
,,,,,,,,,,1858.3
,,,,,,,,,,1915
,,,,,,,,,,1916.2
,,,,,,,,,,1962.7
,,,,,,,,,,2016.9
,,,,,,,,,,2043
,,,,,,,,,,2047.8
,,,,,,,,,,2052.6
,,,,,,,,,,2149.3
,,,,,,,,,,2161.3
,,,,,,,,,,2298.9
,,,,,,,,,,2410
,,,,,,,,,,2545.5
,,,,,,,,,,2896.7
,,,,,,,,,,3036.6
,,,,,,,,,,3109.3
,,,,,,,,,,5.9
,,,,,,,,,,68.6
,,,,,,,,,,164.1
,,,,,,,,,,185.5
,,,,,,,,,,188.8
,,,,,,,,,,390.7
,,,,,,,,,,413.9
,,,,,,,,,,414.6
,,,,,,,,,,482.4
,,,,,,,,,,513.9
,,,,,,,,,,528.1
,,,,,,,,,,535
,,,,,,,,,,537.1
,,,,,,,,,,538.4
,,,,,,,,,,540.4
,,,,,,,,,,541.3
,,,,,,,,,,543.3
,,,,,,,,,,547.4
,,,,,,,,,,548.4
,,,,,,,,,,553.9
,,,,,,,,,,554.2
,,,,,,,,,,554.9
,,,,,,,,,,556.2
,,,,,,,,,,558.8
,,,,,,,,,,559.8
,,,,,,,,,,560.1
,,,,,,,,,,561.5
,,,,,,,,,,562.3
,,,,,,,,,,562.4
,,,,,,,,,,565.1
,,,,,,,,,,565.2
,,,,,,,,,,565.8
,,,,,,,,,,567.1
,,,,,,,,,,567.2
,,,,,,,,,,568.1
,,,,,,,,,,568.8
,,,,,,,,,,569
,,,,,,,,,,570.5
,,,,,,,,,,572.3
,,,,,,,,,,572.7
,,,,,,,,,,572.9
,,,,,,,,,,573.6
,,,,,,,,,,574
,,,,,,,,,,574.7
,,,,,,,,,,575.8
,,,,,,,,,,577.3
,,,,,,,,,,580.6
,,,,,,,,,,582.9
,,,,,,,,,,583.8
,,,,,,,,,,584.2
,,,,,,,,,,585.9
,,,,,,,,,,587.1
,,,,,,,,,,587.3
,,,,,,,,,,588
,,,,,,,,,,589.4
,,,,,,,,,,590.8
,,,,,,,,,,591.1
,,,,,,,,,,592.6
,,,,,,,,,,593.7
,,,,,,,,,,593.7
,,,,,,,,,,596.5
,,,,,,,,,,598.7
,,,,,,,,,,599.8
,,,,,,,,,,600.4
,,,,,,,,,,601.1
,,,,,,,,,,601.2
,,,,,,,,,,602
,,,,,,,,,,604.1
,,,,,,,,,,604.1
,,,,,,,,,,604.4
,,,,,,,,,,604.5
,,,,,,,,,,605.2
,,,,,,,,,,606.3
,,,,,,,,,,607.5
,,,,,,,,,,607.7
,,,,,,,,,,608.2
,,,,,,,,,,608.6
,,,,,,,,,,609.5
,,,,,,,,,,609.7
,,,,,,,,,,610.7
,,,,,,,,,,611.4
,,,,,,,,,,613.7
,,,,,,,,,,616
,,,,,,,,,,616
,,,,,,,,,,616.1
,,,,,,,,,,617
,,,,,,,,,,618.6
,,,,,,,,,,619.1
,,,,,,,,,,621.4
,,,,,,,,,,627.2
,,,,,,,,,,627.9
,,,,,,,,,,629.4
,,,,,,,,,,631
,,,,,,,,,,633
